sprint_id,sprint_name,state,start_date,end_date,complete_date,activated_date
3382.0,Sprint 6.2 - 6,closed,2015-10-20T11:11:57.198Z,2015-11-03T12:11:00.000Z,2015-11-03T12:15:21.547Z,2015-10-20T11:11:57.198Z
3392.0,Sprint 6.2 - 7,closed,2015-11-03T12:15:43.021Z,2015-11-17T12:15:00.000Z,2015-11-16T18:19:31.422Z,2015-11-03T12:15:43.021Z
3962.0,Sprint 6.2 - 8,closed,2015-11-16T18:19:54.145Z,2015-11-30T18:19:00.000Z,2015-12-08T09:10:00.486Z,2015-11-16T18:19:54.145Z
4462.0,Sprint 6.2 - 9,closed,2015-12-08T09:10:27.350Z,2016-01-15T09:10:00.000Z,2016-01-12T11:40:58.740Z,2015-12-08T09:10:27.350Z
4520.0,Sprint 6.3 - 2 and 3,closed,2016-01-07T11:41:08.918Z,2016-01-29T11:41:00.000Z,2016-02-01T14:38:37.302Z,2016-01-07T11:41:08.918Z
4522.0,Sprint 6.3 - 4,closed,2016-02-01T14:40:13.131Z,2016-02-12T14:40:00.000Z,2016-02-15T10:02:26.240Z,2016-02-01T14:40:13.131Z
4524.0,Sprint 6.3 - 5,closed,2016-02-15T10:03:09.093Z,2016-02-26T10:03:00.000Z,2016-02-29T16:05:13.260Z,2016-02-15T10:03:09.093Z
4630.0,Sprint 6.3 - 6,closed,2016-02-29T16:05:13.306Z,2016-03-11T16:05:00.000Z,2016-03-14T10:26:26.318Z,2016-02-29T16:05:13.306Z
4714.0,Sprint 6.3 - 7,closed,2016-03-14T10:27:16.959Z,2016-03-25T10:27:00.000Z,2016-03-29T13:15:44.233Z,2016-03-14T10:27:16.959Z
4740.0,Sprint 6.3 - 8,closed,2016-03-28T13:16:43.407Z,2016-04-08T13:16:00.000Z,2016-04-11T15:01:03.434Z,2016-03-28T13:16:43.407Z
4746.0,Sprint 6.3 - 9,closed,2016-04-11T15:01:39.104Z,2016-04-22T15:01:00.000Z,2016-04-25T15:36:55.990Z,2016-04-11T15:01:39.104Z
4836.0,Sprint 6.3 - 10,closed,2016-04-25T15:37:36.030Z,2016-05-06T15:37:00.000Z,2016-05-13T12:43:40.584Z,2016-04-25T15:37:36.030Z
4660.0,Backlog 2nd june-29th July,closed,2016-06-02T10:13:02.340Z,2016-07-01T10:13:00.000Z,2016-08-01T08:21:15.683Z,2016-06-02T10:13:02.340Z
4896.0,Priority Backlog- 16-31 may 16,closed,2016-05-16T18:00:00.000Z,2016-05-31T22:00:00.000Z,2016-06-02T10:24:32.303Z,2016-05-16T18:00:00.000Z
5140.0,GSSP_6.4 Sprint- 3-31 Aug,closed,2016-08-03T08:17:20.067Z,2016-08-31T12:17:00.000Z,2016-09-06T21:40:41.465Z,2016-08-03T08:17:20.067Z
5408.0,November Sprint,closed,2016-11-03T23:46:23.504Z,2016-12-02T00:46:00.000Z,2016-11-30T13:29:23.663Z,2016-11-03T23:46:23.504Z
7714.0,2018 Week 30-32,closed,2018-07-23T04:01:07.842Z,2018-08-13T04:01:00.000Z,2018-08-13T09:15:00.207Z,2018-07-23T04:01:07.842Z
7762.0,2018 Week 33-35,closed,2018-08-13T04:01:58.187Z,2018-09-03T04:01:00.000Z,2018-09-03T10:52:31.448Z,2018-08-13T04:01:58.187Z
7764.0,2018 Week 36-38,closed,2018-09-03T04:01:12.100Z,2018-09-24T04:01:00.000Z,2018-09-24T11:00:09.328Z,2018-09-03T04:01:12.100Z
7912.0,2018 Week 39-41,closed,2018-09-24T04:01:11.696Z,2018-10-15T04:01:00.000Z,2018-10-15T10:46:39.230Z,2018-09-24T04:01:11.696Z
7914.0,2018 Week 42-44,closed,2018-10-15T04:01:19.963Z,2018-11-05T05:01:00.000Z,2018-11-05T11:22:50.376Z,2018-10-15T04:01:19.963Z
7916.0,2018 Week 45-47,closed,2018-11-05T05:01:39.266Z,2018-11-26T05:01:00.000Z,2018-11-26T12:00:59.716Z,2018-11-05T05:01:39.266Z
7918.0,2018 Week 48-50,closed,2018-11-26T05:01:18.885Z,2018-12-17T05:01:00.000Z,2018-12-17T12:00:02.753Z,2018-11-26T05:01:18.885Z
8160.0,2018 Week 51-01,closed,2018-12-17T05:01:45.388Z,2019-01-07T05:01:00.000Z,2019-01-07T11:55:23.389Z,2018-12-17T05:01:45.388Z
8158.0,2019 Week 02-04,closed,2019-01-07T05:01:30.817Z,2019-01-28T05:01:00.000Z,2019-01-28T11:26:59.009Z,2019-01-07T05:01:30.817Z
8162.0,2019 Week 05-07,closed,2019-01-28T05:01:18.162Z,2019-02-18T05:01:00.000Z,2019-02-18T11:49:57.388Z,2019-01-28T05:01:18.162Z
8164.0,2019 Week 08-10,closed,2019-02-18T05:01:41.585Z,2019-03-11T04:01:00.000Z,2019-03-11T11:53:08.735Z,2019-02-18T05:01:41.585Z
8166.0,2019 Week 11-13,closed,2019-03-11T04:01:55.289Z,2019-04-01T04:01:00.000Z,2019-04-01T11:06:41.034Z,2019-03-11T04:01:55.289Z
8514.0,2019 Week 14-16,closed,2019-04-01T04:01:53.439Z,2019-04-22T04:01:00.000Z,2019-04-23T11:13:04.061Z,2019-04-01T04:01:53.439Z
8516.0,2019 Week 17-19,closed,2019-04-22T04:01:29.793Z,2019-05-13T04:01:00.000Z,2019-05-13T12:51:36.157Z,2019-04-22T04:01:29.793Z
8932.0,2019 Week 26-28,closed,2019-06-24T04:01:51.200Z,2019-07-15T04:01:00.000Z,2019-07-15T10:19:13.335Z,2019-06-24T04:01:51.200Z
8934.0,2019 Week 29-31,closed,2019-07-15T04:01:45.641Z,2019-08-05T04:01:00.000Z,2019-08-05T10:08:16.574Z,2019-07-15T04:01:45.641Z
8936.0,2019 Week 32-34,closed,2019-08-05T04:01:31.421Z,2019-08-26T04:01:00.000Z,2019-08-26T10:49:37.712Z,2019-08-05T04:01:31.421Z
25175.0,2021 Week 40-42 (from Oct 4),closed,2021-10-06T00:01:00.000Z,2021-10-24T23:59:00.000Z,2021-10-25T09:46:17.376Z,2021-10-06T09:54:03.451Z
38867.0,2021 Week 43-45 (from Oct 25),closed,2021-10-27T00:01:00.000Z,2021-11-14T23:59:00.000Z,2021-11-15T11:21:51.038Z,2021-10-27T09:49:03.076Z
38868.0,2021 Week 46-48 (from Nov 15),closed,2021-11-17T00:01:00.000Z,2021-12-05T23:59:00.000Z,2021-12-06T11:17:52.070Z,2021-11-17T10:55:17.966Z
38869.0,2021 Week 49-51 (from Dec 6th),closed,2021-12-08T00:01:00.000Z,2022-01-09T23:59:00.000Z,2022-01-10T14:18:40.918Z,2021-12-08T12:12:04.672Z
3222.0,Sprint 2015-K,closed,2015-08-03T15:20:21.020Z,2015-09-14T15:20:00.000Z,2015-09-14T15:22:55.018Z,2015-08-03T15:20:21.020Z
3352.0,Sprint 6.2 - 3,closed,2015-09-08T11:13:05.861Z,2015-09-22T11:13:00.000Z,2015-09-22T11:08:28.892Z,2015-09-08T11:13:05.861Z
3362.0,Sprint 6.2 - 4,closed,2015-09-22T11:08:56.117Z,2015-10-06T11:08:00.000Z,2015-10-05T11:09:29.335Z,2015-09-22T11:08:56.117Z
3372.0,Sprint 6.2 - 5,closed,2015-10-05T11:09:46.319Z,2015-10-19T11:09:00.000Z,2015-10-20T11:11:38.422Z,2015-10-05T11:09:46.319Z
3382.0,Sprint 6.2 - 6,closed,2015-10-20T11:11:57.198Z,2015-11-03T12:11:00.000Z,2015-11-03T12:15:21.547Z,2015-10-20T11:11:57.198Z
3392.0,Sprint 6.2 - 7,closed,2015-11-03T12:15:43.021Z,2015-11-17T12:15:00.000Z,2015-11-16T18:19:31.422Z,2015-11-03T12:15:43.021Z
4848.0,Sprint 5 - towards ER2,closed,2016-05-02T13:51:04.790Z,2016-06-03T13:51:00.000Z,2016-08-24T18:47:44.198Z,2016-05-02T13:51:04.790Z
4660.0,Backlog 2nd june-29th July,closed,2016-06-02T10:13:02.340Z,2016-07-01T10:13:00.000Z,2016-08-01T08:21:15.683Z,2016-06-02T10:13:02.340Z
4412.0,7.0 Sprint 1,closed,2016-11-28T08:20:26.501Z,2016-12-26T08:20:00.000Z,2017-03-07T14:22:18.796Z,2016-11-28T08:20:26.501Z
4896.0,Priority Backlog- 16-31 may 16,closed,2016-05-16T18:00:00.000Z,2016-05-31T22:00:00.000Z,2016-06-02T10:24:32.303Z,2016-05-16T18:00:00.000Z
5140.0,GSSP_6.4 Sprint- 3-31 Aug,closed,2016-08-03T08:17:20.067Z,2016-08-31T12:17:00.000Z,2016-09-06T21:40:41.465Z,2016-08-03T08:17:20.067Z
5214.0,Sept Sprint,closed,2016-09-06T11:23:08.571Z,2016-09-27T11:23:00.000Z,2016-10-04T11:09:12.203Z,2016-09-06T11:23:08.571Z
5312.0,October Sprint,closed,2016-10-04T11:10:39.080Z,2016-11-01T11:10:00.000Z,2016-11-08T00:46:35.039Z,2016-10-04T11:10:39.080Z
5408.0,November Sprint,closed,2016-11-03T23:46:23.504Z,2016-12-02T00:46:00.000Z,2016-11-30T13:29:23.663Z,2016-11-03T23:46:23.504Z
5504.0,December Sprint,closed,2016-12-01T13:10:38.253Z,2016-12-29T13:10:00.000Z,2017-01-02T09:17:34.512Z,2016-12-01T13:10:38.253Z
5556.0,January Sprint,closed,2017-01-02T20:04:57.996Z,2017-01-30T20:04:00.000Z,2017-02-06T14:21:41.817Z,2017-01-02T20:04:57.996Z
5622.0,BxMS70-Iteration1,closed,2017-03-13T15:33:00.000Z,2017-06-02T15:33:00.000Z,2017-05-30T14:49:28.994Z,2017-03-13T15:33:00.000Z
5644.0,Sprint1,closed,2017-01-23T05:01:03.710Z,2017-01-30T05:01:00.000Z,2017-03-14T15:15:02.482Z,2017-01-23T05:01:03.710Z
5646.0,Sprint2,closed,2017-01-02T15:20:30.489Z,2017-01-16T15:20:00.000Z,2017-03-14T15:14:14.124Z,2017-01-02T15:20:30.489Z
5712.0,Sprint3,closed,2017-03-14T15:15:25.335Z,2017-05-13T03:59:00.000Z,2017-05-15T14:02:18.358Z,2017-03-14T15:15:25.335Z
6002.0,jBPM sprint 1,closed,2017-04-16T12:01:50.706Z,2017-04-30T12:01:00.000Z,2017-05-08T08:20:21.509Z,2017-04-16T12:01:50.706Z
5914.0,Spring 1,closed,2017-04-05T13:58:59.086Z,2017-04-19T13:58:00.000Z,2017-05-29T15:10:03.021Z,2017-04-05T13:58:59.086Z
5932.0,April 2017 Sprint,closed,2017-04-12T08:50:35.355Z,2017-04-28T08:50:00.000Z,2017-05-04T20:50:51.769Z,2017-04-12T08:50:35.355Z
5846.0,Sprint4,closed,2017-05-15T17:58:16.744Z,2017-05-29T17:58:00.000Z,2017-05-29T13:51:39.261Z,2017-05-15T17:58:16.744Z
6014.0,Sprint 2,closed,2017-05-02T09:16:52.750Z,2017-05-16T09:16:00.000Z,2017-05-29T15:10:27.076Z,2017-05-02T09:16:52.750Z
6016.0,jBPM sprint 2,closed,2017-05-01T08:21:21.902Z,2017-05-15T08:21:00.000Z,2017-05-15T05:32:14.614Z,2017-05-01T08:21:21.902Z
6024.0,May 2017 Sprint,closed,2017-05-04T20:52:59.038Z,2017-05-29T20:52:00.000Z,2017-06-07T11:15:40.285Z,2017-05-04T20:52:59.038Z
6066.0,jBPM sprint 3,closed,2017-05-15T05:32:07.785Z,2017-05-29T05:32:00.000Z,2017-05-29T15:21:10.611Z,2017-05-15T05:32:07.785Z
6074.0,AppFormer Sprint 1,closed,2017-05-15T13:45:54.001Z,2017-05-29T13:45:00.000Z,2017-06-06T11:43:40.028Z,2017-05-15T13:45:54.001Z
6076.0,Sprint 3,closed,2017-05-24T13:23:20.039Z,2017-06-07T13:23:00.000Z,2017-06-06T11:53:28.159Z,2017-05-24T13:23:20.039Z
6126.0,2017 Week 22-23,closed,2017-05-29T04:00:00.000Z,2017-06-12T03:59:00.000Z,2017-06-12T13:25:18.855Z,2017-05-29T04:00:00.000Z
6128.0,Planner Sprint 1,closed,2017-05-29T13:30:03.008Z,2017-06-26T13:30:00.000Z,2017-06-06T11:42:06.537Z,2017-05-29T13:30:03.008Z
6130.0,2017 Week 22-23 - remove,closed,2017-05-29T10:37:53.908Z,2017-06-12T10:37:00.000Z,2017-06-06T11:37:58.474Z,2017-05-29T10:37:53.908Z
6146.0,2017 Week 24-25,closed,2017-06-12T04:00:33.126Z,2017-06-26T04:00:00.000Z,2017-06-26T13:01:39.805Z,2017-06-12T04:00:33.126Z
6156.0,2017 Week 22-23 - remove,closed,2017-05-28T19:00:31.174Z,2017-06-11T19:00:00.000Z,2017-06-06T11:52:24.031Z,2017-05-28T19:00:31.174Z
6160.0,June 2017 Sprint,closed,2017-06-07T11:16:40.656Z,2017-06-30T11:16:00.000Z,2017-07-11T06:56:57.237Z,2017-06-07T11:16:40.656Z
6507.0,September sprint,closed,2017-09-11T17:04:26.959Z,2017-09-29T17:04:00.000Z,2017-10-04T11:13:05.744Z,2017-09-11T17:04:26.959Z
6180.0,2017 Week 26-27,closed,2017-06-26T04:00:07.977Z,2017-07-10T03:59:00.000Z,2017-07-10T10:51:47.670Z,2017-06-26T04:00:07.977Z
6251.0,July 2017 sprint,closed,2017-07-11T06:58:41.533Z,2017-08-03T06:58:00.000Z,2017-08-08T06:13:52.773Z,2017-07-11T06:58:41.533Z
6257.0,2017 Week 28-29,closed,2017-07-10T04:00:51.593Z,2017-07-24T03:59:00.000Z,2017-07-24T14:14:53.762Z,2017-07-10T04:00:51.593Z
6287.0,2017 Week 30-31,closed,2017-07-24T14:15:22.615Z,2017-08-07T14:14:00.000Z,2017-08-07T14:21:24.617Z,2017-07-24T14:15:22.615Z
6363.0,2017 Week 32-33,closed,2017-08-07T04:00:02.805Z,2017-08-21T04:00:00.000Z,2017-08-21T12:57:15.453Z,2017-08-07T04:00:02.805Z
6365.0,2017 Week 34-35,closed,2017-08-21T04:00:39.384Z,2017-09-04T04:00:00.000Z,2017-09-06T12:59:55.407Z,2017-08-21T04:00:39.384Z
6377.0,2017 Week 36-37,closed,2017-09-04T04:00:42.786Z,2017-09-18T04:00:00.000Z,2017-09-20T14:37:52.046Z,2017-09-04T04:00:42.786Z
6387.0,August 2017 Sprint,closed,2017-08-08T06:19:09.010Z,2017-08-30T06:19:00.000Z,2017-09-11T14:43:23.514Z,2017-08-08T06:19:09.010Z
6627.0,October Sprint1,closed,2017-10-04T11:13:30.987Z,2017-10-17T11:13:00.000Z,2017-10-17T11:53:14.861Z,2017-10-04T11:13:30.987Z
6633.0,October Sprint-2,closed,2017-10-17T11:54:29.547Z,2017-10-30T11:54:00.000Z,2017-11-01T10:42:10.728Z,2017-10-17T11:54:29.547Z
6531.0,2017 Week 38-39,closed,2017-09-18T04:00:00.000Z,2017-10-02T03:59:00.000Z,2017-10-02T14:50:42.137Z,2017-09-18T04:00:00.000Z
